Number,target
1044,omegacsd_CAVNUI
3348,omegacsd_SFDMOX
1216,omegacsd_FEKYEZ
4895,omegacsd_LIKMEX
11231,omegacsd_PEBHAF
1779,omegacsd_VORJER
7804,astex_1gm8
2205,omegacsd_DOLJIX
436,omegacsd_DIZWAK
1420,omegapdb_1iy7
25432,omegacsd_FURSEM01
6029,omegacsd_SEYPUH
287,omegacsd_WEBCOV
280,omegapdb_1d3h
3547,omegacsd_CIXFIY
3056,omegacsd_FEFPOV
4998,omegapdb_2iko
28200,omegacsd_LACCEX
2091,omegacsd_YICPIJ
30954,omegacsd_DEBBER
1793,omegacsd_GAVMIZ
591,omegacsd_PXEZSD
2665,omegacsd_GEHKIN
14343,omegacsd_CETZOQ
824,omegacsd_YILDOM
3879,omegacsd_VEYRAS
826,omegacsd_FUMBOE
504,omegacsd_DUZDAD
1412,omegapdb_1v2k
1686,omegacsd_NBPENC
402,omegacsd_ABZNPS
16141,omegacsd_SINKUV
3888,omegapdb_1o37
8647,astex_1xm6
10696,omegacsd_FIBREN
840,omegacsd_SPIRIL
1371,omegacsd_CMXPYO
1696,omegacsd_JUVPAR
5084,omegacsd_HEMLOA
2115,omegacsd_CIPXEE
768,omegacsd_CABCUD
636,omegacsd_WAVTIW
1477,omegacsd_BAFJEX10
606,omegapdb_2byh
1926,omegacsd_GASPUL
1975,omegacsd_COKTAX
864,omegapdb_2f71
34416,omegapdb_1xom
14274,omegacsd_BATROD
2304,omegacsd_KOJMEB
846,omegacsd_KUBHEU
431,omegacsd_BTHYDX
849,omegacsd_WAMZAL
7642,astex_1nav
23432,omegapdb_1r6w
2536,omegacsd_DERZAB
1584,omegacsd_HEPYAC
21356,omegacsd_BUHNIB
2264,omegacsd_CIJVAS
9690,omegacsd_BHMPET
1562,omegacsd_ACPIXZ
10050,omegacsd_HEKZAY
3548,omegacsd_VURTOR
1639,omegacsd_CUWRIV
770,omegapdb_1jsl
7713,omegacsd_HEVXEL
4393,omegapdb_1uf8
625,omegapdb_2izl
1303,omegapdb_1sn5
24705,omegacsd_PKOJSI
2108,omegacsd_YOXDEU
998,omegacsd_PIBSXM
4595,omegapdb_1uu9
10741,omegacsd_FUSZOI
397,omegacsd_ANTZOB
6530,astex_1v4s
11588,omegapdb_1exa
4278,omegacsd_GIHWUP
1592,omegacsd_CBZHYX
7766,omegacsd_CEWFUF
4543,omegacsd_LACPAG
639,omegapdb_1qnf
986,omegacsd_DCTXAN
9537,omegapdb_1r34
3456,omegacsd_BEXVOP
4371,omegacsd_SOPSIZ
8075,omegacsd_DOTFEX
24000,omegapdb_3cbs
1620,omegacsd_FOLYIO
14400,omegacsd_ECBHMP
2185,omegacsd_HEPKUI
18972,astex_1t9b
1159,omegacsd_VOXHAR
428,omegacsd_CLPNXA
3660,omegacsd_TPHPRO
974,omegacsd_YAHFAO
4655,omegacsd_VIBWIM
3230,omegapdb_1w9u
4674,omegacsd_CAFGIZ
888,omegacsd_BUDCUY
3522,omegapdb_1q72
4261,omegacsd_KICRIX
2400,omegacsd_DAXKAO
2607,omegacsd_FEYJEY
12660,omegapdb_1s63
53044,omegacsd_PACVUK
672,omegacsd_GASXED
8469,omegacsd_YULZOU
10297,omegacsd_CUJSAB
6492,omegacsd_HEXFEV
21420,omegacsd_LINLAV
986,omegacsd_GEJLAI
20002,omegacsd_SEMXEN
3384,omegacsd_YUYJEH
588,omegapdb_1nqu
6709,omegacsd_PXMPEN
4392,omegacsd_MBZTZT10
6904,omegacsd_CPYPTZ
2778,omegacsd_DECZIU
1719,omegacsd_DOXANN
12851,omegacsd_VAYXOI
