Number,target
240,omegacsd_VIBNID
648,omegacsd_DENBUT
876,omegacsd_BZAPUC20
1511,omegacsd_VAMCUH
251,omegacsd_AMOCMS10
1296,omegacsd_SORCOR
160,omegacsd_KECDUR
3912,omegacsd_VUSKID
3552,omegacsd_DIAVER
2253,omegapdb_1m5b
278,omegacsd_HBFRAN
156,omegacsd_GIFZAW
2732,omegapdb_1xn0
2631,omegacsd_DIWWUB
3072,omegacsd_YEYVED
540,omegacsd_PIKDIW
92,omegacsd_SIHDES
267,omegacsd_FIXNUV
25,omegacsd_CDBMPI10
315,omegacsd_HEPGAK
470,omegacsd_SIHVUA
17469,omegapdb_1hyo
169,omegacsd_FPAMCA
741,omegacsd_KABJOM
3809,omegacsd_WIKJOP
1128,omegacsd_NFCSEY
279,omegacsd_QQQHDG10
78,omegapdb_1k2u
396,omegacsd_MATSTA10
2405,omegapdb_1ofd
3691,omegacsd_LIKGIV
238,omegapdb_1y6q
566,omegacsd_MTBPNP
190,omegacsd_MLDPHE10
450,omegacsd_BESCEH
493,astex_1n46
36,omegacsd_DIWPUU
142,omegacsd_YAYDEH
578,omegacsd_HEMXIG
1345,omegacsd_FOJZUZ
216,omegapdb_1o3m
1680,omegacsd_VOWXEK
140,omegacsd_KOKBIV
16843,omegacsd_TAZXAT
568,omegacsd_WELGAV
256,omegacsd_FEMMAL
750,omegacsd_GINKUJ
568,omegacsd_DABGUI
360,omegacsd_YOPRAW
411,omegacsd_CIBPEI
406,omegacsd_CELXOG
14659,omegacsd_BAJZOB10
129,omegacsd_FUPFIF
102,omegacsd_COYPIP
791,omegapdb_1ik4
2327,omegapdb_1qy5
252,omegacsd_GIKJOZ
4410,astex_1tt1
19,omegacsd_CBMHZP
1944,omegacsd_BAFYOW
816,omegacsd_WASTEP
48,omegacsd_BUTDID
288,astex_1owe
606,omegacsd_HEMWUR
168,omegapdb_2hd6
213,omegacsd_CUNTIO
875,omegacsd_GIHKAJ
525,omegacsd_HAVJET
4018,astex_1ig3
467,omegacsd_FEVZUB
120,omegacsd_VUGDEG
405,omegacsd_FOBZIF
864,omegapdb_2bts
521,astex_1tow
122,omegacsd_LAXWEM
75,omegacsd_CAGXEN
4255,omegacsd_COFHIO10
680,omegacsd_SOPNAM
881,omegacsd_CEKNOV
208,omegacsd_YAGWOS
12,astex_1oq5
759,omegacsd_JUDWEK
595,omegapdb_1m2x
189,omegacsd_DUHSUU
135,omegacsd_KEBVES
600,omegacsd_PBYXCH
141,omegacsd_ABHYTZ
232,omegacsd_PBBSHD
931,omegacsd_TECSUP
138,omegacsd_SEFLIY
3928,omegacsd_FAJVAN
270,omegapdb_2g8n
2042,omegapdb_1m5f
479,astex_1ke5
7564,omegapdb_1gz8
454,omegacsd_TAPBZO
84,omegacsd_DOPXIP
4344,omegacsd_CALLEG
2444,omegacsd_DOHREX
555,omegacsd_SAVYET
6708,omegacsd_KAVNOK
534,omegapdb_1gjd
1504,omegapdb_1h2k
2272,omegacsd_PTHPAL
458,omegacsd_BEHHOL10
441,omegacsd_DUPKII
383,omegacsd_FIVPUV
1490,omegapdb_1yc1
789,omegacsd_KUHNUW
1692,omegapdb_1o2q
546,omegacsd_SLFNMF02
149,omegacsd_DADDUH
347,omegacsd_VEXROF
248,omegacsd_CPPHAM
140,omegapdb_1r4p
3305,omegapdb_2hb1
1595,omegacsd_CUHNEY10
840,omegacsd_BZAPCX10
235,omegacsd_YAZHUC
1085,omegapdb_1pck
1206,omegacsd_FOLMEY
970,omegacsd_LABLOP
1027,astex_1oyt
684,omegapdb_1uf7
39,omegacsd_CELDEC
531,astex_1l2s
1296,omegacsd_DENDAC
4173,omegacsd_CODYUP10
1133,astex_1tz8
280,omegacsd_DUMTAG
1157,omegacsd_FAVYEG
461,omegacsd_HECHEC
3799,omegacsd_SADXIE
1728,astex_1opk
1200,omegacsd_EHMPYX10
1007,omegapdb_1g6c
8942,omegacsd_LADTOZ
1104,omegacsd_PCPTZA
171,omegacsd_FIWLUS
288,omegacsd_ANTZOA
1039,omegapdb_1j3f
897,omegacsd_WESFOP
504,omegacsd_CPQZOL
967,omegacsd_YUKKUK
357,omegacsd_DIGSIV
4800,omegapdb_2cbs
81,omegacsd_AURMIN
610,omegacsd_SOWCOW
380,omegacsd_VOXNOL
8660,omegapdb_2btr
88,omegacsd_DAWRAU
281,omegacsd_JUBJOF
576,omegacsd_EITDZL
177,omegacsd_DIZREJ
270,omegacsd_CMXPMB
436,omegacsd_FOMDUG
10000,omegapdb_1s8j
55,omegacsd_FEWBAK
612,omegacsd_LETBUH
144,omegapdb_1gja
576,omegacsd_CMPEPI
657,omegacsd_JUHHEZ
3456,omegapdb_1o3l
847,omegapdb_1nnk
3173,omegacsd_VOPDIN
155,omegacsd_BIBHID
223,omegacsd_GEJJUA
141,omegacsd_YOSMOI
5079,omegapdb_1sa4
144,omegacsd_HASCOT
256,omegacsd_ABVPRO
883,omegacsd_HEVJAT
64,omegapdb_1oks
89,omegacsd_PMPAIN
1172,omegapdb_1rf6
45,omegacsd_KACKII
