Number,target
6100,omegacsd_SILTUC
2647,omegacsd_COKBOT
935,omegacsd_TAPSOS
2101,omegapdb_1v2n
287168,omegacsd_DAFVUB
3166,omegacsd_JOTDAX
10676,omegapdb_1h1s
9873,omegacsd_YULXIM
15609,omegacsd_COYTOZ
2543,astex_2bsm
5505,astex_1yqy
6066,omegacsd_BENPRL
11973,omegacsd_BUYZIE
110247,omegacsd_MVERIQ
7470,omegacsd_SISYIC
3263,omegacsd_ABSBPP
2627,omegapdb_2j47
3942,astex_1s3v
26248,omegacsd_CMANPQ
143694,omegacsd_AZLNPR
11699,omegacsd_DEBBOB
377,omegacsd_FLPNTX10
17527,omegacsd_HEHVOF
11387,omegacsd_KIXLOS
194503,omegapdb_2gss
206,omegacsd_SIHDIW
9087,omegacsd_CATXIE
750402,omegacsd_COCHOL
120595,omegapdb_1g4s
11858,omegacsd_PMANAQ
55528,omegacsd_FAWREA
12363,omegapdb_1is0
70116,omegacsd_PMEPEN
586,omegacsd_TEDBUZ
4581,omegacsd_KEJGEL
7987,astex_1v48
32707,omegacsd_YAZBAC
15717,omegacsd_GIHTUM
84333,omegacsd_DAFTOT
96796,omegacsd_FOYLIO
2324,omegacsd_KOTGIJ
37280,omegacsd_DISHOC
3342,omegacsd_FANPUF
1227,omegacsd_SURREC
27465,omegacsd_COZFOM
97023,omegacsd_SAGWOM
3231,omegacsd_BIBSEK
2108,omegacsd_YABKOB
1296,omegacsd_KUFPIK
1140,omegacsd_LANXED
30423,omegacsd_CARNID
19777,omegapdb_2j34
16952,astex_1u1c
27445,omegacsd_KOFLOG
3358,omegacsd_FHFPBY
31955,omegacsd_PNPAUR
43103,omegacsd_TANNOL
249146,astex_1meh
266314,omegacsd_FUHLID
5268,omegacsd_CFBPBI
6157,omegacsd_ACENHT
285311,omegapdb_2f34
20006,omegacsd_FAHXIV
17443,omegacsd_PEPHEX
43326,omegacsd_SUKPET
20815,omegacsd_KOFLIA
5188,omegapdb_1uf5
31501,omegacsd_KOFMIB
1000,omegacsd_PINSAG
11158,omegacsd_NADZIB
7830,omegacsd_HATKES
15700,omegapdb_1f06
17542,omegacsd_FOGWAZ
2117,omegacsd_CIDSIR
7525,omegacsd_SIHGIZ
89496,astex_1ywr
527016,omegacsd_HAVLUL
1389,omegacsd_FBPAZD
88512,astex_1mzc
7035,astex_1sj0
11765,omegapdb_2byi
2431,omegacsd_PMBSAN10
19699,omegapdb_1gs5
86298,omegacsd_VORDAH
24584,omegacsd_PEXJEH
8475,omegapdb_2ewb
4118,omegacsd_HALOPE
17176,omegacsd_MICONZ
3199,omegacsd_HALDOL
5552,omegapdb_1yvx
2925,omegacsd_AOPCHY
171134,omegapdb_1o2y
8807,omegacsd_CIJFEG
21548,omegacsd_COTXUE
46638,omegacsd_FABSOQ10
1366,omegacsd_FUJRUX
19920,omegacsd_FANRER
23935,omegacsd_FAXPUP
23951,omegacsd_SAGMUI
17962,omegapdb_2cji
43073,omegacsd_YOPWOP
6296,omegapdb_6prc
2301,omegapdb_1f8b
48860,omegacsd_HALSES
16080,omegacsd_BEKDIE
5821,omegacsd_LEDWAS
145146,omegacsd_EPCMPO
138720,omegacsd_SAWZUL
42227,omegapdb_1oiu
4110,omegacsd_ACTHBZ
63614,omegapdb_1uy8
10599,omegapdb_1xon
