Number,target
114,omegacsd_HEKROE
210,omegapdb_1pa9
160,omegacsd_CLPTBU
90,omegacsd_BEWLIY10
308,omegacsd_LAWJEY
72,omegacsd_YITLES
66,omegacsd_YESPIV
39,omegacsd_JUKZUK
90,omegacsd_BEWLOE10
206,omegapdb_1toj
416,omegapdb_1m5d
66,astex_1jd0
180,omegacsd_BAXOZO
163,omegacsd_KIHWAZ
45,omegacsd_DAKGEB
19,omegapdb_1bto
55,omegacsd_KEMHOZ
45,omegacsd_PAPPHI
4,omegacsd_PEXFED
288,omegapdb_1uwc
334,omegacsd_SIFJIA
636,omegacsd_CUSLUX
236,omegacsd_BAFREF
324,omegapdb_2brc
98,astex_1n2v
709,omegacsd_AMPDAM
700,omegacsd_VENRUB
391,omegacsd_CLPHAC
78,omegapdb_1k2t
796,omegapdb_1utt
396,omegacsd_FUHHAR
172,omegacsd_GATPOG
48,omegacsd_FOWPOW
410,omegacsd_TEKBIU
216,omegapdb_2ggd
208,astex_1of6
708,omegapdb_1w1q
108,omegacsd_EXOADN
162,omegacsd_BETFAH
180,omegacsd_PIDSIE
110,omegacsd_HAVRUR
36,omegapdb_1d3g
432,omegacsd_SEMDET
425,omegapdb_1p1o
99,omegacsd_HADLAZ
798,omegacsd_FURACM
78,omegacsd_BUSNIM
188,omegacsd_HALJOT
201,omegacsd_LERKAU
48,omegacsd_YINDII
69,omegacsd_SAVXOC
10,omegacsd_PNBPIP
342,omegapdb_2iuz
108,omegacsd_CIBPOS
156,omegacsd_BELWOE
54,omegacsd_FUNYAO
154,omegapdb_1h1p
108,omegacsd_DUDPAT
54,omegacsd_FOPMIG
36,omegapdb_2bgd
423,omegacsd_GALMOV
337,omegacsd_GEBJOM
1088,omegacsd_CBSTHP
776,omegacsd_KAVLIC
647,omegapdb_1q91
91,omegacsd_DAHNIJ
106,astex_1n2j
336,omegacsd_BATXID
350,omegacsd_LEKMET
48,omegacsd_JOXFIL
72,omegapdb_1n2b
205,omegacsd_WESZOJ
250,omegacsd_COYVIV
44,omegacsd_CYCLIZ10
215,omegacsd_FIJJUD
54,omegacsd_DUXYOK
60,omegacsd_DEBFAR
90,omegacsd_CLPSAM
215,omegacsd_PMTSZD
120,omegacsd_CNINDO
160,omegacsd_FEYKUP
142,astex_1q4g
429,omegacsd_YAHBOY
356,omegapdb_1wvj
54,omegacsd_VADTAV
720,omegacsd_EMZPPO
270,omegacsd_FACCER10
108,omegapdb_1gj6
28,omegapdb_2aw1
90,omegacsd_ANOPPS
92,omegacsd_MINTSA
314,omegacsd_PMCPRC10
76,omegacsd_CPIPLA
95,omegacsd_SLFNMB04
18,omegacsd_FUDVUV
27,omegapdb_2f7p
31,omegacsd_TAJSEC
35,omegacsd_FAHTUD
275,omegacsd_TAPZEP
96,omegapdb_1xap
302,omegapdb_2aj8
398,omegacsd_LETBAN
36,omegapdb_1xqc
128,omegacsd_FUCFIS
47,omegacsd_COVXIU
72,astex_1q1g
108,omegacsd_DUDNUL
560,omegacsd_BSBTHP
323,omegacsd_MAMNAQ
71,omegacsd_CMAPTX
13,omegacsd_HEJTAR
99,omegacsd_FABWUA10
216,omegacsd_ABIMAZ
99,omegacsd_PMAANO01
423,astex_1r9o
83,omegacsd_VOXMOK
339,omegapdb_1syh
102,omegacsd_DCLPET
372,omegapdb_1yc4
66,omegacsd_PMPBTZ
720,omegacsd_JUBGES
48,omegapdb_1ur8
51,astex_1n1m
166,omegacsd_CENNIS
68,omegacsd_CEVTUS
864,omegapdb_1c1u
181,omegacsd_KIHWED
54,omegacsd_WEVTIA
110,omegacsd_JUDLUP
54,omegacsd_FUNXUH
26,omegacsd_BUNFUL
155,omegacsd_MRMPYR
816,omegacsd_GEKWAU
36,omegapdb_2evc
188,omegacsd_FECPUY
292,omegacsd_WIDDIW
66,omegacsd_BBSPRT10
118,omegacsd_HEXYIS
87,omegapdb_1e2m
104,omegacsd_KAXXAI
108,omegapdb_2flb
42,omegacsd_DANNEL
32,omegacsd_CANPUC
36,omegacsd_CMSMOC
