Target,Uniform,EI,LCB,N_rot
astex_1uou,10.550115349264544,0.4299826785738219,1.2965658248511005,4
omegapdb_2c4w,105082.40144014737,-0.28251810988979287,0.05424686725771721,4
astex_1ia1,901.6157828558498,0.9072578552880515,0.881735856441253,4
astex_1w2g,18.427360133722956,-0.6390764784879011,0.4700726257654182,4
omegapdb_1n3z,35.82229648474649,2.201029434641825,5.228722564360908,4
astex_1p62,28.476658678794614,-1.0978446695215993,0.3503256296995332,4
astex_1lrh,8.934569211835495,0.3658344514530043,0.3658344514530043,4
astex_1of1,49.421221205952165,-0.19728432091972792,-0.20629356706469792,4
astex_1hp0,12.22434931073478,-0.3925259796282319,-0.49966190918161146,4
astex_1sg0,1.1303068852847815,-0.10508092225090593,-0.09582517041910421,4
omegapdb_1v97,4.246646453548372,-0.49708351213223523,-0.5169686187016893,4
astex_1j3j,-5.637491484016309,-5.844860757204472,-9.513802656607197,4
astex_1m2z,6.052227949029856,-0.23604296732852958,-0.5928600754593276,4
