Early_Stop,Target
No,omegacsd_CAVNUI
No,omegacsd_SFDMOX
No,omegacsd_FEKYEZ
Yes,omegacsd_LIKMEX
No,omegacsd_PEBHAF
No,omegacsd_VORJER
No,astex_1gm8
No,omegacsd_DOLJIX
Yes,omegacsd_DIZWAK
No,omegapdb_1iy7
No,omegacsd_FURSEM01
No,omegacsd_SEYPUH
No,omegacsd_WEBCOV
No,omegapdb_1d3h
No,omegacsd_CIXFIY
No,omegacsd_FEFPOV
No,omegapdb_2iko
No,omegacsd_LACCEX
Yes,omegacsd_YICPIJ
Yes,omegacsd_DEBBER
No,omegacsd_GAVMIZ
No,omegacsd_PXEZSD
No,omegacsd_GEHKIN
Yes,omegacsd_CETZOQ
No,omegacsd_YILDOM
Yes,omegacsd_VEYRAS
No,omegacsd_FUMBOE
No,omegacsd_DUZDAD
Yes,omegapdb_1v2k
Yes,omegacsd_NBPENC
No,omegacsd_ABZNPS
No,omegacsd_SINKUV
No,omegapdb_1o37
No,astex_1xm6
No,omegacsd_FIBREN
No,omegacsd_SPIRIL
No,omegacsd_CMXPYO
No,omegacsd_JUVPAR
No,omegacsd_HEMLOA
No,omegacsd_CIPXEE
No,omegacsd_CABCUD
Yes,omegacsd_WAVTIW
No,omegacsd_BAFJEX10
No,omegapdb_2byh
No,omegacsd_GASPUL
Yes,omegacsd_COKTAX
No,omegapdb_2f71
No,omegapdb_1xom
No,omegacsd_BATROD
No,omegacsd_KOJMEB
No,omegacsd_KUBHEU
Yes,omegacsd_BTHYDX
Yes,omegacsd_WAMZAL
No,astex_1nav
No,omegapdb_1r6w
No,omegacsd_DERZAB
No,omegacsd_HEPYAC
No,omegacsd_BUHNIB
No,omegacsd_CIJVAS
Yes,omegacsd_BHMPET
Yes,omegacsd_ACPIXZ
No,omegacsd_HEKZAY
Yes,omegacsd_VURTOR
No,omegacsd_CUWRIV
No,omegapdb_1jsl
No,omegacsd_HEVXEL
Yes,omegapdb_1uf8
No,omegapdb_2izl
No,omegapdb_1sn5
No,omegacsd_PKOJSI
No,omegacsd_YOXDEU
No,omegacsd_PIBSXM
No,omegapdb_1uu9
No,omegacsd_FUSZOI
No,omegacsd_ANTZOB
No,astex_1v4s
No,omegapdb_1exa
No,omegacsd_GIHWUP
Yes,omegacsd_CBZHYX
No,omegacsd_CEWFUF
Yes,omegacsd_LACPAG
No,omegapdb_1qnf
No,omegacsd_DCTXAN
No,omegapdb_1r34
No,omegacsd_BEXVOP
No,omegacsd_SOPSIZ
No,omegacsd_DOTFEX
No,omegapdb_3cbs
Yes,omegacsd_FOLYIO
No,omegacsd_ECBHMP
No,omegacsd_HEPKUI
No,astex_1t9b
No,omegacsd_VOXHAR
Yes,omegacsd_CLPNXA
No,omegacsd_TPHPRO
Yes,omegacsd_YAHFAO
Yes,omegacsd_VIBWIM
Yes,omegapdb_1w9u
No,omegacsd_CAFGIZ
No,omegacsd_BUDCUY
No,omegapdb_1q72
Yes,omegacsd_KICRIX
No,omegacsd_DAXKAO
No,omegacsd_FEYJEY
No,omegapdb_1s63
No,omegacsd_PACVUK
No,omegacsd_GASXED
No,omegacsd_YULZOU
No,omegacsd_CUJSAB
Yes,omegacsd_HEXFEV
No,omegacsd_LINLAV
No,omegacsd_GEJLAI
No,omegacsd_SEMXEN
Yes,omegacsd_YUYJEH
No,omegapdb_1nqu
No,omegacsd_PXMPEN
No,omegacsd_MBZTZT10
No,omegacsd_CPYPTZ
No,omegacsd_DECZIU
No,omegacsd_DOXANN
No,omegacsd_VAYXOI
