Early_Stop,Target
Yes,omegacsd_SILTUC
No,omegacsd_COKBOT
Yes,omegacsd_TAPSOS
No,omegapdb_1v2n
Yes,omegacsd_DAFVUB
No,omegacsd_JOTDAX
Yes,omegapdb_1h1s
No,omegacsd_YULXIM
No,omegacsd_COYTOZ
No,astex_2bsm
No,astex_1yqy
Yes,omegacsd_BENPRL
No,omegacsd_BUYZIE
No,omegacsd_MVERIQ
Yes,omegacsd_SISYIC
No,omegacsd_ABSBPP
No,omegapdb_2j47
No,astex_1s3v
Yes,omegacsd_CMANPQ
No,omegacsd_AZLNPR
No,omegacsd_DEBBOB
Yes,omegacsd_FLPNTX10
No,omegacsd_HEHVOF
No,omegacsd_KIXLOS
Yes,omegapdb_2gss
No,omegacsd_SIHDIW
No,omegacsd_CATXIE
No,omegacsd_COCHOL
No,omegapdb_1g4s
No,omegacsd_PMANAQ
No,omegacsd_FAWREA
No,omegapdb_1is0
Yes,omegacsd_PMEPEN
No,omegacsd_TEDBUZ
No,omegacsd_KEJGEL
Yes,astex_1v48
No,omegacsd_YAZBAC
No,omegacsd_GIHTUM
No,omegacsd_DAFTOT
Yes,omegacsd_FOYLIO
No,omegacsd_KOTGIJ
No,omegacsd_DISHOC
No,omegacsd_FANPUF
Yes,omegacsd_SURREC
No,omegacsd_COZFOM
No,omegacsd_SAGWOM
No,omegacsd_BIBSEK
No,omegacsd_YABKOB
No,omegacsd_KUFPIK
No,omegacsd_LANXED
No,omegacsd_CARNID
Yes,omegapdb_2j34
No,astex_1u1c
No,omegacsd_KOFLOG
No,omegacsd_FHFPBY
No,omegacsd_PNPAUR
No,omegacsd_TANNOL
No,astex_1meh
No,omegacsd_FUHLID
Yes,omegacsd_CFBPBI
Yes,omegacsd_ACENHT
No,omegapdb_2f34
Yes,omegacsd_FAHXIV
Yes,omegacsd_PEPHEX
No,omegacsd_SUKPET
No,omegacsd_KOFLIA
No,omegapdb_1uf5
No,omegacsd_KOFMIB
No,omegacsd_PINSAG
No,omegacsd_NADZIB
No,omegacsd_HATKES
No,omegapdb_1f06
No,omegacsd_FOGWAZ
No,omegacsd_CIDSIR
No,omegacsd_SIHGIZ
No,astex_1ywr
Yes,omegacsd_HAVLUL
Yes,omegacsd_FBPAZD
Yes,astex_1mzc
No,astex_1sj0
No,omegapdb_2byi
Yes,omegacsd_PMBSAN10
No,omegapdb_1gs5
No,omegacsd_VORDAH
No,omegacsd_PEXJEH
No,omegapdb_2ewb
No,omegacsd_HALOPE
No,omegacsd_MICONZ
Yes,omegacsd_HALDOL
No,omegapdb_1yvx
Yes,omegacsd_AOPCHY
No,omegapdb_1o2y
No,omegacsd_CIJFEG
No,omegacsd_COTXUE
No,omegacsd_FABSOQ10
Yes,omegacsd_FUJRUX
Yes,omegacsd_FANRER
No,omegacsd_FAXPUP
No,omegacsd_SAGMUI
No,omegapdb_2cji
No,omegacsd_YOPWOP
Yes,omegapdb_6prc
No,omegapdb_1f8b
No,omegacsd_HALSES
Yes,omegacsd_BEKDIE
Yes,omegacsd_LEDWAS
No,omegacsd_EPCMPO
No,omegacsd_SAWZUL
No,omegapdb_1oiu
No,omegacsd_ACTHBZ
No,omegapdb_1uy8
No,omegapdb_1xon
