target,Uniform,EI,LCB
omegacsd_LAWJEY,0.03127445346011677,0.33437033869359917,0.3227357065537676
omegacsd_JUKZUK,0.2561138350593128,0.028812512162507898,0.06251020056758401
omegacsd_BEWLOE10,0.06575837707490043,0.0932439262969425,0.017763579153733493
omegapdb_1toj,0.18706983117519185,0.23497588161056507,0.12928508808851932
omegapdb_1m5d,0.7215535525601985,0.5834421731192351,0.20154576606622726
omegapdb_1bto,0.4369750283419064,0.15932241613135636,0.4307711128555568
omegacsd_KEMHOZ,0.20512025420632807,0.026812518852738904,0.031572716626779664
omegacsd_PEXFED,0.34291564616362386,0.13767645400113593,0.2603203727237819
omegacsd_SIFJIA,0.43535056456799776,0.2435044516803778,0.30260701470056695
omegacsd_CUSLUX,0.33773848928797023,0.08373371296131284,0.4579118762085615
astex_1n2v,0.26735265981598755,0.0064668237940839444,0.329912729857094
omegacsd_AMPDAM,0.5863438867554384,0.43599042504630975,0.03108542262450171
omegacsd_VENRUB,0.22619387760873302,0.23325464230484258,0.26963923478320606
omegacsd_CLPHAC,0.1164107425624692,0.08012269329700718,0.11634497606916505
omegacsd_GATPOG,0.3137466687674037,0.05656751945799939,0.14414576304852897
omegacsd_TEKBIU,0.04614850525544346,0.012675482251240704,0.04039951962863442
astex_1of6,0.47855943562021086,0.06396602260365022,0.06396602260365022
omegapdb_1w1q,0.6447251522715824,0.09864906508865726,0.2924054628720695
omegacsd_EXOADN,0.09135423470580514,0.004180756345075939,0.043588126540024454
omegacsd_PIDSIE,0.1657478422801064,0.20336030715353698,0.23055495583741353
omegacsd_SEMDET,0.20838883265892666,0.16051847335423364,0.18110909372671655
omegapdb_1p1o,0.7212167012364522,0.7349511777189444,0.6080963212961792
omegacsd_FURACM,0.405793578410114,0.476838534729061,0.3507097639368958
omegacsd_BUSNIM,0.3369053584520951,0.15882216518509504,0.15882216518509504
omegacsd_LERKAU,0.05975842388539793,0.012182006602069678,0.01907362649235511
omegacsd_YINDII,0.3697168457325122,0.22489257984534658,0.10154882401484876
omegapdb_2iuz,0.2015124089957807,0.3522940455593326,0.029001311419184814
omegacsd_BELWOE,0.1541918202629071,0.0640018201420526,0.05955113475098061
omegacsd_FUNYAO,0.31640136402412705,0.038705512313453865,0.03567146902451973
omegapdb_1h1p,0.3514462265549642,0.07193464812536161,0.11706680087205897
omegacsd_FOPMIG,0.34196283726722254,0.3173617090632883,0.25365938954113704
omegacsd_GALMOV,0.061680306514001186,0.09944412093861736,0.08170094545255775
omegacsd_GEBJOM,0.4674002938001593,0.020942861501841412,0.020942861501841412
omegacsd_CBSTHP,0.3199172696953801,0.45090199642021994,0.0889068301031036
omegapdb_1q91,0.07586939776423493,0.05279592934624126,0.056422246025137866
omegacsd_DAHNIJ,0.4514801585605797,0.010684248606695685,0.010684248606695685
omegacsd_BATXID,0.24437533091239613,0.25884853668283603,0.1358188491905019
omegacsd_WESZOJ,0.24233677215396401,0.06408372971198194,0.08013755942522532
omegacsd_DUXYOK,0.08550824235081475,0.01431155889997673,0.015259311161057236
omegacsd_CLPSAM,0.5815547465449088,0.32706964822841755,0.3441325421037389
omegacsd_PMTSZD,0.18941709162103712,0.04684278418217825,0.04327017833171461
omegacsd_CNINDO,0.16471191682985697,0.12738308955833827,0.18128915526790038
astex_1q4g,0.11038866998254028,0.00729728950219575,0.044641838484507625
omegapdb_1wvj,0.4139404230227872,0.11939743522056437,0.4156406741225663
omegacsd_PMCPRC10,0.235875940044236,0.0682289757101439,0.09144771390971347
omegapdb_2f7p,0.30942348615630305,0.09290743180651657,0.05810765678182072
omegapdb_2aj8,0.18680332371509367,0.23338895174387725,0.14232695435842502
omegacsd_LETBAN,0.32677758162431225,0.09323832515865337,0.4648612709407795
astex_1q1g,0.13315472856006733,0.06372388197737722,0.006608771805253368
omegacsd_BSBTHP,0.2814793130766482,0.03856976105580861,0.05128629776703764
omegacsd_MAMNAQ,0.1727133047580829,0.24501644323728425,0.4859263206318334
omegacsd_CMAPTX,0.13433017401721856,0.022387599121286426,0.060946315888525796
omegacsd_HEJTAR,0.42785843219785097,0.08202102761354191,0.04027778294766682
omegacsd_PMAANO01,0.30847868020752395,0.044574096533842526,0.09282344601787107
omegacsd_DCLPET,0.08927818653422019,0.11786571082952799,0.044179691497761575
omegapdb_1yc4,0.08504331285428134,0.34250380961954435,0.348220395468366
omegacsd_PMPBTZ,0.16219528812337572,0.015452964602018402,0.0426633464832765
omegacsd_JUBGES,0.06933030992786039,0.004811055310292002,0.037666717502533635
omegapdb_1ur8,0.5514498690115028,0.1947614712281111,0.20182561078065323
astex_1n1m,0.37420161883165676,0.02409694679561709,0.11952873454607817
omegacsd_CENNIS,0.34697115796310224,0.06226316105097178,0.4570983609858005
omegapdb_1c1u,0.1859393393208793,0.28125688110897146,0.4291791976042757
omegapdb_1e2m,0.41960709367022136,0.16496795958344504,0.16496795958344504
omegacsd_KAXXAI,0.38247641172106045,0.04470219132473893,0.3872401932035967
omegacsd_DANNEL,0.07871955685608131,0.025112175547351272,0.04431692456519885
