Target,Uniform,EI,LCB,N_rot
omegacsd_SFDMOX,1.7674157970304025,0.38906541512209736,0.9922444012070536,5
omegacsd_FEKYEZ,0.9779782734403148,1.7300076238274351,2.3636745711078024,5
omegacsd_LIKMEX,2.78493065952321,2.0484745421031136,2.7870769675993325,5
omegacsd_PEBHAF,1.7678718809873866,1.0512007062302116,1.8953107365450397,5
astex_1gm8,1.3157364201101172,1.5241660250983962,1.1841510611097026,5
omegacsd_DOLJIX,1.6759456555264385,1.5988053387316161,1.565131106400793,5
omegapdb_1iy7,0.9306633833105026,1.3709088663544318,1.5167735451720372,5
omegacsd_FURSEM01,1.3920107201586507,1.33865838435031,1.0541220347842986,5
omegacsd_SEYPUH,1.6813898654219688,0.7391298430351187,0.45209506094767726,5
omegacsd_WEBCOV,1.0735882295878618,1.2828476705376626,2.0280890092866883,5
omegacsd_LACCEX,2.186864928651405,0.9049242350637333,1.0886731394186433,5
omegacsd_YICPIJ,1.7343567009210383,2.5259882079780245,2.7662857805249743,5
omegacsd_DEBBER,1.9524380524934646,2.0826634831259816,1.8899219083573877,5
omegacsd_GEHKIN,1.6847906975124913,1.6895379613738741,0.513756929766687,5
omegacsd_CETZOQ,1.5229262127166154,1.1648236131744985,1.2011719816136113,5
omegacsd_VEYRAS,2.5915800394090183,1.0514216029750134,1.5038658617922267,5
omegacsd_FUMBOE,1.4582015246849125,0.6566937232485133,0.24896605229003532,5
omegapdb_1v2k,3.199777260669776,1.5538636837857533,1.7057416799702483,5
omegacsd_SINKUV,1.360097777541732,0.7425860338888455,0.8182939243620382,5
astex_1xm6,1.2845337165494937,1.973471917271276,0.6931286925419228,5
omegacsd_FIBREN,2.338422151630848,2.891267045442668,2.733380862945752,5
omegacsd_SPIRIL,1.0891443326172205,0.6887689770625469,2.2742912558975386,5
omegacsd_CABCUD,1.8554927485199761,0.8808413897079237,1.1899595049319935,5
omegacsd_BAFJEX10,0.6697654930820235,0.64232158989613,0.702715784590825,5
omegacsd_GASPUL,1.8587932336690316,1.5106397075542677,1.5006055646887708,5
omegacsd_COKTAX,2.1722252948883076,1.1439232695858612,2.1022148179635254,5
omegapdb_2f71,1.413808187613179,1.2020406120064506,0.8394248386099576,5
omegapdb_1xom,1.803281543534188,1.502572966758462,1.8228742512999563,5
omegacsd_BATROD,1.791473946715204,1.0533507295679705,0.8420506509368728,5
omegacsd_KOJMEB,1.1101775975173167,1.1556433653146605,1.0197552218066863,5
omegacsd_KUBHEU,2.059716524041606,1.7659300582587234,2.116880912630925,5
omegacsd_BTHYDX,1.1134240753732625,2.2523974628437076,0.3482815411913734,5
omegacsd_WAMZAL,1.4682646475698213,0.7431752698820886,0.65740787807982,5
omegapdb_1r6w,0.914442626070358,1.2386791567476174,0.7787410005153448,5
omegacsd_DERZAB,1.8167105103497792,2.1996182715183648,1.626880728072302,5
omegacsd_HEPYAC,2.171183485793681,2.554329551650481,1.367315886528531,5
omegacsd_BUHNIB,2.2800923430058453,1.6539756417894023,1.0227010655718871,5
omegacsd_BHMPET,1.7872224522608924,1.5191381341214776,0.7789250997587434,5
omegacsd_HEKZAY,2.0916733169977917,0.5738010885936398,0.6013236480290455,5
omegapdb_1jsl,1.063322300773971,1.2679430647979022,1.0385662070832595,5
omegacsd_HEVXEL,1.8895248680502967,2.3900774259838444,2.4183398730595407,5
omegapdb_1uf8,1.1378192232899387,1.2872686384380416,0.8673136296992218,5
omegacsd_PKOJSI,1.31665320716916,1.456483046104868,1.0913662475256614,5
omegacsd_YOXDEU,1.9070016392081193,2.6702451563081873,2.063589190237511,5
omegacsd_PIBSXM,1.5788095713101982,0.8644696504420311,0.9939580441213417,5
omegapdb_1uu9,1.77272881279532,1.9437074883233831,1.242406911161546,5
omegacsd_FUSZOI,1.5282979787550253,1.492529052161756,1.0566921206433064,5
omegacsd_ANTZOB,0.9257688805025313,1.5948239660784538,0.9366937556006767,5
astex_1v4s,1.8183710597161022,2.0837268441136065,1.8978767801570835,5
omegacsd_CBZHYX,1.9016701581958337,1.6785070871866454,2.0626136500940264,5
omegacsd_LACPAG,2.830617015314707,1.9332086053256523,1.5129861173113266,5
omegapdb_1qnf,1.5153526318078234,1.2771932620075972,1.4002351359045035,5
omegapdb_1r34,2.2395747686933762,0.6526836233872685,1.6128513756758687,5
omegacsd_BEXVOP,1.2253871015245101,0.5249944859690091,0.863324466975901,5
omegacsd_FOLYIO,0.798422590608141,0.319353277349225,0.5927038690768195,5
omegacsd_ECBHMP,1.1591960566499415,0.4986961241232977,0.8156119544032329,5
astex_1t9b,2.2129396628996565,1.9833427993877801,1.9482008964877793,5
omegacsd_VOXHAR,1.9664967309698436,1.671566441097876,1.374221667568888,5
omegacsd_CLPNXA,2.0947371174892297,1.5619142243170985,1.4238588729538617,5
omegacsd_TPHPRO,3.011806140937227,2.3093417415049253,2.2660602681451447,5
omegacsd_YAHFAO,3.3631745516108227,2.3204283025555945,1.5843389606288532,5
omegapdb_1w9u,1.8361830008428908,1.1315801877743192,0.41884374645922356,5
omegacsd_CAFGIZ,3.8915358257366934,1.1612490741055543,0.8355079014089267,5
omegapdb_1q72,1.2120651408135865,1.051546099400244,0.7669341052944856,5
omegacsd_KICRIX,2.2124867533639008,1.2046367192759038,2.027460408776528,5
omegacsd_DAXKAO,1.0732141872241399,1.44043413100722,1.2636334375971898,5
omegacsd_FEYJEY,2.389200401124516,2.5771537427912796,1.7591931557725886,5
omegapdb_1s63,2.4975879874029356,1.8291016447013433,1.3904700470663494,5
omegacsd_PACVUK,2.4746830190203535,1.5004339666251896,1.6820863252348612,5
omegacsd_CUJSAB,2.2503877200863074,0.9056060618389439,1.8317942177376982,5
omegacsd_HEXFEV,0.47493853988094575,0.668848703070161,0.6688809289003556,5
omegacsd_LINLAV,2.306021709722349,2.353824108436974,2.6084694086554565,5
omegacsd_GEJLAI,1.041206433825247,1.2178209788344492,0.38530762780966654,5
omegapdb_1nqu,1.3472061832093865,1.0699468667772547,1.1770289184629754,5
omegacsd_PXMPEN,1.6740546515144974,0.8873705743352635,0.8948654502172799,5
omegacsd_MBZTZT10,1.605595242463218,0.7586282272393283,0.9714222950559962,5
omegacsd_DOXANN,1.0005182796117125,0.5171816454114168,1.2116897940138764,5
omegacsd_VAYXOI,3.084494335072127,1.0476035497764202,2.3392461416122003,5
