Target,Uniform,EI,LCB,N_rot
omegacsd_SILTUC,1.8584830073938554,0.5099618496245224,2.26886345592614,6
omegacsd_COKBOT,1.2721085676531616,1.674893980233927,1.7912693946107376,6
omegapdb_1v2n,2.8367065825854856,2.0872990365199646,1.3631678972428816,6
omegacsd_DAFVUB,2.033356639889457,1.2047227487751517,1.7992685621041644,6
omegapdb_1h1s,1.9837498201655197,0.7643887933342294,2.909399319391333,6
omegacsd_YULXIM,1.8148638800370118,2.156640152435291,2.439630468749388,6
omegacsd_COYTOZ,2.29314761103539,1.203328765568999,0.7323925328059951,6
astex_1yqy,3.2655405551530428,2.5970311204584764,1.3122925549652977,6
omegacsd_BENPRL,1.5449114394519532,1.6716587920098025,2.2608883451701938,6
omegacsd_BUYZIE,1.608875939850421,1.82103774730355,2.385321299692448,6
omegapdb_2j47,1.0092958328300043,0.887693176342159,0.6908509243676716,6
astex_1s3v,1.0099096567970578,0.8581178362661275,1.2405608752000314,6
omegacsd_CMANPQ,2.623582258478429,2.4893893315211253,1.5764565587538453,6
omegacsd_AZLNPR,1.5100392896813746,0.72147437311821,1.3809802540337377,6
omegacsd_DEBBOB,1.8240858411871113,2.9755095871839403,2.7870240798335755,6
omegacsd_FLPNTX10,2.556193802617457,1.3283786948424177,1.1605116250559304,6
omegacsd_HEHVOF,1.8686643814964234,3.208013122589373,1.7670373705893674,6
omegacsd_KIXLOS,2.61585311454395,1.5596128140674275,2.4153982581354185,6
omegapdb_2gss,1.3088542901088944,1.5468910850250448,1.6187107820310291,6
omegacsd_SIHDIW,3.097052507852077,2.4112407472741486,2.6745374578464585,6
omegacsd_CATXIE,1.6116624511508122,2.323053283858955,1.9722363757942452,6
omegacsd_COCHOL,2.1789444435816367,2.4083110485132333,1.459391530996932,6
omegapdb_1g4s,1.1613141229739325,2.017186490008293,2.127790117336889,6
omegacsd_FAWREA,1.9778031245358774,0.48752210828657644,1.294181918316725,6
omegacsd_PMEPEN,1.8311607119848465,1.1281424437538001,1.4439701361770731,6
omegacsd_TEDBUZ,2.538814666043231,1.7796690440440128,0.8750048050877195,6
astex_1v48,2.0940713582182204,1.5330567544582498,2.5905850067037073,6
omegacsd_YAZBAC,3.0288276129877416,1.7280332624573183,0.9298479653637749,6
omegacsd_GIHTUM,2.818598809909234,1.5207180918215286,1.464359420081347,6
omegacsd_DAFTOT,2.0377011560665803,2.885150476187547,2.5692340558870166,6
omegacsd_FOYLIO,1.6659421636637872,1.2969952938123468,0.7568571352838157,6
omegacsd_KOTGIJ,1.9596872405497479,0.9138631337901116,1.0069700069674599,6
omegacsd_DISHOC,2.7921407080513907,1.7629965603560636,1.790498127133224,6
omegacsd_FANPUF,2.180361107418228,1.1370987532590189,1.1370987532590189,6
omegacsd_SURREC,2.8782908520129316,2.506412013552184,2.0059336179415697,6
omegacsd_BIBSEK,1.7571989693282442,1.1094524220810307,0.7698363767916107,6
omegacsd_YABKOB,1.4225788927134286,1.490654404584159,1.490654404584159,6
omegacsd_KUFPIK,1.1765464826064522,2.8285452082081517,0.7233507131158683,6
omegacsd_LANXED,2.2944003005352505,1.3231787157628399,1.8950772525269093,6
omegacsd_CARNID,2.031939679795869,1.7049497200108945,1.1201659169110483,6
omegapdb_2j34,2.793694271202375,0.8349090210023129,0.8349090210023129,6
astex_1u1c,1.7641597347169482,1.4224430219495505,1.4323725209342453,6
omegacsd_FHFPBY,4.390257996079788,2.5463938463013966,2.3923585143739143,6
omegacsd_PNPAUR,1.3987159958881505,1.1120067996536211,1.5295053243087737,6
omegacsd_TANNOL,1.3578615479802076,2.5033153942010786,2.2006460920107,6
astex_1meh,1.7396398174801255,2.651689419268424,2.3576129531168695,6
omegacsd_CFBPBI,1.6489879527339864,2.209487195312229,1.8296395967012162,6
omegacsd_ACENHT,1.7483585961938481,1.0033028579295704,0.8865520187643009,6
omegapdb_2f34,2.3342620676053003,1.2879572276321496,1.8635505793127765,6
omegacsd_FAHXIV,1.258982416357463,1.3684175870012534,1.0506627676996751,6
omegacsd_PEPHEX,1.0531063497140971,1.4707346603368459,1.469391292309438,6
omegapdb_1uf5,1.2053198962762777,1.1436731147135077,0.7475900115578763,6
omegacsd_PINSAG,1.6890912928986952,0.6173128261129812,0.8094734056784004,6
omegacsd_NADZIB,1.5755950868941666,1.3298362700131134,1.5600484038821185,6
omegapdb_1f06,1.4299708397093798,1.793893645219894,2.1294389574522863,6
omegacsd_FOGWAZ,1.2970499498574313,0.8801154964282321,1.500568660896946,6
omegacsd_SIHGIZ,3.4177436505261434,0.9115637438517692,1.308388826558277,6
astex_1ywr,3.874987828203238,1.1690460873709725,3.557404806989703,6
omegacsd_HAVLUL,1.5057717696652742,1.6439743775402713,0.8642606529222505,6
astex_1mzc,2.5143997112574286,3.2614933656211393,2.7637585400442406,6
astex_1sj0,1.89455558995842,0.7233582484638921,1.364710471111951,6
omegapdb_2byi,2.313464859229928,3.7778265329345557,2.91750509245774,6
omegacsd_PMBSAN10,1.6936294736588515,1.6627206135775259,0.649590956064505,6
omegapdb_1gs5,1.4577804546647186,1.4175940145515138,1.0439724102909405,6
omegacsd_VORDAH,1.7854568979437038,0.8845447805805052,1.2741242801229087,6
omegacsd_PEXJEH,2.797635307417199,1.6464170344918079,1.9220606034317347,6
omegapdb_2ewb,2.5656616251908053,1.4906354732837601,1.3317269368907125,6
omegacsd_HALOPE,2.9625292481567076,1.9389432790030974,2.0985229282623,6
omegacsd_HALDOL,2.2995887010200895,1.1304940122972247,1.0325757489436482,6
omegapdb_1yvx,2.462591393041458,2.309714899752353,2.5638739682422993,6
omegacsd_AOPCHY,0.886054581422474,0.949965960261853,0.7063993912563569,6
omegapdb_1o2y,2.283731112463345,1.749387921502936,1.5172100190889146,6
omegacsd_CIJFEG,2.107507678637219,2.2326115116796075,2.206872183019682,6
omegacsd_COTXUE,1.5756025186166287,1.6675772661443438,2.7249233692652206,6
omegacsd_FABSOQ10,2.765750439107853,2.8628947273845387,2.532223607661241,6
omegacsd_FUJRUX,0.936976307697852,1.5636759522251076,0.9669234274769047,6
omegacsd_FANRER,1.373666298145862,2.2785453484486955,2.3952881023550465,6
omegacsd_FAXPUP,0.9843121297154593,1.2754163794889823,1.569710206528616,6
omegacsd_SAGMUI,1.5367249226753035,1.5780202421219116,2.1793085358015083,6
omegapdb_2cji,3.1414378742402156,2.6770270474023135,2.783413862973606,6
omegacsd_YOPWOP,2.2152596317852273,1.9424020287993011,1.1481294141532576,6
omegapdb_6prc,1.4463260711743608,1.1728503160800086,1.1872406641383613,6
omegapdb_1f8b,1.4963605927854495,1.3883911015191936,1.4855344713112035,6
omegacsd_HALSES,1.683153778758109,1.6075436069019549,0.8390411396213376,6
omegacsd_BEKDIE,1.9662943906891284,1.4750122112808313,1.2697807774095375,6
omegacsd_LEDWAS,1.2049200757383414,1.1361498119297175,1.029483287885971,6
omegacsd_EPCMPO,1.2208640285415535,0.8973610262075693,1.0217891916148678,6
omegacsd_SAWZUL,1.9604572750372853,0.9542355795750548,0.7134299625843149,6
omegapdb_1oiu,1.623606876239674,2.980587537135022,0.8407238431694953,6
