Early_Stop,Target
No,omegacsd_CAVNUI
No,omegacsd_SFDMOX
No,omegacsd_FEKYEZ
No,omegacsd_LIKMEX
No,omegacsd_PEBHAF
No,omegacsd_VORJER
No,astex_1gm8
No,omegacsd_DOLJIX
Yes,omegacsd_DIZWAK
Yes,omegapdb_1iy7
Yes,omegacsd_FURSEM01
No,omegacsd_SEYPUH
Yes,omegacsd_WEBCOV
No,omegapdb_1d3h
No,omegacsd_CIXFIY
Yes,omegacsd_FEFPOV
Yes,omegapdb_2iko
No,omegacsd_LACCEX
No,omegacsd_YICPIJ
No,omegacsd_DEBBER
No,omegacsd_GAVMIZ
Yes,omegacsd_PXEZSD
No,omegacsd_GEHKIN
No,omegacsd_CETZOQ
No,omegacsd_YILDOM
Yes,omegacsd_VEYRAS
No,omegacsd_FUMBOE
No,omegacsd_DUZDAD
No,omegapdb_1v2k
No,omegacsd_NBPENC
Yes,omegacsd_ABZNPS
No,omegacsd_SINKUV
No,omegapdb_1o37
No,astex_1xm6
Yes,omegacsd_FIBREN
No,omegacsd_SPIRIL
Yes,omegacsd_CMXPYO
No,omegacsd_JUVPAR
No,omegacsd_HEMLOA
No,omegacsd_CIPXEE
Yes,omegacsd_CABCUD
Yes,omegacsd_WAVTIW
Yes,omegacsd_BAFJEX10
Yes,omegapdb_2byh
No,omegacsd_GASPUL
No,omegacsd_COKTAX
No,omegapdb_2f71
No,omegapdb_1xom
No,omegacsd_BATROD
No,omegacsd_KOJMEB
No,omegacsd_KUBHEU
No,omegacsd_BTHYDX
No,omegacsd_WAMZAL
No,astex_1nav
Yes,omegapdb_1r6w
No,omegacsd_DERZAB
No,omegacsd_HEPYAC
No,omegacsd_BUHNIB
No,omegacsd_CIJVAS
No,omegacsd_BHMPET
No,omegacsd_ACPIXZ
No,omegacsd_HEKZAY
No,omegacsd_VURTOR
No,omegacsd_CUWRIV
No,omegapdb_1jsl
No,omegacsd_HEVXEL
No,omegapdb_1uf8
Yes,omegapdb_2izl
No,omegapdb_1sn5
No,omegacsd_PKOJSI
Yes,omegacsd_YOXDEU
No,omegacsd_PIBSXM
No,omegapdb_1uu9
No,omegacsd_FUSZOI
No,omegacsd_ANTZOB
No,astex_1v4s
No,omegapdb_1exa
No,omegacsd_GIHWUP
No,omegacsd_CBZHYX
Yes,omegacsd_CEWFUF
No,omegacsd_LACPAG
Yes,omegapdb_1qnf
No,omegacsd_DCTXAN
No,omegapdb_1r34
No,omegacsd_BEXVOP
Yes,omegacsd_SOPSIZ
No,omegacsd_DOTFEX
No,omegapdb_3cbs
Yes,omegacsd_FOLYIO
No,omegacsd_ECBHMP
No,omegacsd_HEPKUI
Yes,astex_1t9b
No,omegacsd_VOXHAR
No,omegacsd_CLPNXA
No,omegacsd_TPHPRO
Yes,omegacsd_YAHFAO
No,omegacsd_VIBWIM
No,omegapdb_1w9u
No,omegacsd_CAFGIZ
No,omegacsd_BUDCUY
Yes,omegapdb_1q72
No,omegacsd_KICRIX
No,omegacsd_DAXKAO
No,omegacsd_FEYJEY
No,omegapdb_1s63
Yes,omegacsd_PACVUK
No,omegacsd_GASXED
Yes,omegacsd_YULZOU
Yes,omegacsd_CUJSAB
No,omegacsd_HEXFEV
Yes,omegacsd_LINLAV
No,omegacsd_GEJLAI
No,omegacsd_SEMXEN
No,omegacsd_YUYJEH
No,omegapdb_1nqu
Yes,omegacsd_PXMPEN
No,omegacsd_MBZTZT10
No,omegacsd_CPYPTZ
No,omegacsd_DECZIU
No,omegacsd_DOXANN
Yes,omegacsd_VAYXOI
