Target,Uniform,EI,LCB,Confab,N_rot
omegacsd_CAVNUI,0.2975032638353954,0.2641718115794056,0.5477329744527635,0.23352134883594947,5
omegacsd_VORJER,0.17268005270469422,0.31845090775211443,0.21698687091605495,0.18551119823404424,5
omegacsd_DIZWAK,0.5672078466246199,0.2406660857505659,0.5053031504015083,0.29748819137844734,5
omegapdb_1d3h,0.051380087432724514,0.0768463493021817,0.02583684110081506,0.07563665911975923,5
omegacsd_CIXFIY,0.471204543132946,0.17061397245741794,0.34669589858945116,0.07191541654366825,5
omegacsd_FEFPOV,0.24221674144430602,0.08298790226354155,0.19576133104162285,0.25320961604706615,5
omegapdb_2iko,0.1564358964932842,0.14000823383462652,0.08653617602355554,0.04657872821654698,5
omegacsd_GAVMIZ,0.14868465859689833,0.07347034186198026,0.1115956029789799,0.07767185866645362,5
omegacsd_PXEZSD,0.09090194063782417,0.07972874333200079,0.15215118884555598,0.045965660979286865,5
omegacsd_YILDOM,0.12745287042117684,0.15927376917110692,0.13882907986466278,0.04018214517050218,5
omegacsd_DUZDAD,0.1336331302256005,0.06840620591155136,0.2397861164967984,0.05894743007313031,5
omegacsd_NBPENC,0.41179554220146536,0.08500006320730177,0.14521302784642082,0.18688611846708286,5
omegacsd_ABZNPS,0.4189353046244447,0.03664969509925447,0.10123344027551488,0.028088447365811654,5
omegapdb_1o37,0.09748482886917877,0.07237522212869063,0.033908260482933564,0.0035276974300464162,5
omegacsd_CMXPYO,0.16516873587563458,0.08940680496233952,0.1630545104139706,0.06479882723601385,5
omegacsd_JUVPAR,0.13566582296607085,0.05191255727393222,0.1009901401920989,0.11918551369155968,5
omegacsd_HEMLOA,0.27085639922393806,0.24346306607047072,0.2350381493865681,0.035890864525580976,5
omegacsd_CIPXEE,0.16958859787510625,0.3157278633490315,0.0870340579865931,0.26731873838478376,5
omegacsd_WAVTIW,0.2824173547977414,0.11949839212978018,0.0,0.14298367074951301,5
omegapdb_2byh,0.3185925215664214,0.2289913515302347,0.08633466694034414,0.15254568142929228,5
astex_1nav,0.1782381551238108,0.0,0.0,0.12320673018236143,5
omegacsd_CIJVAS,0.15938569317788967,0.13063471131101637,0.1538403978572708,0.03965392462957416,5
omegacsd_ACPIXZ,0.03281607100584065,0.1082911344013262,0.11092133169717171,0.21223272393946796,5
omegacsd_VURTOR,0.15414411261256683,0.025553923092876935,0.09779796778093067,0.1909351354328843,5
omegacsd_CUWRIV,0.15690912103850604,0.2574195027996417,0.22422433522783278,0.3085481619617215,5
omegapdb_2izl,0.43109965775401016,0.49583173096480154,0.5532550285560133,0.3727709548589826,5
omegapdb_1sn5,0.1361375061918082,0.03971843892640703,0.0393740882493376,0.12637616976373311,5
omegapdb_1exa,0.4809015030085166,0.2694041171872338,0.30618008581063216,0.10223441008345437,5
omegacsd_GIHWUP,0.10804503016920632,0.1543275927216642,0.042189572598240126,0.1391254821089466,5
omegacsd_CEWFUF,0.4567723726547048,0.10137726417634392,0.2863227049553704,0.20222139193471692,5
omegacsd_DCTXAN,0.4288808985775267,0.04120030079294709,0.11412611790850191,0.17101369156515905,5
omegacsd_SOPSIZ,0.6274359136478921,0.3123469686626181,0.2777029615727453,0.302463929761739,5
omegacsd_DOTFEX,0.0810200170460115,0.388769489273833,0.04008706826153979,0.07520777551425108,5
omegapdb_3cbs,0.3042445297731869,0.14974714007180184,0.04817996097192346,0.022959736563116624,5
omegacsd_HEPKUI,0.31238304812558715,0.339404579333869,0.23592685521049894,0.3386659571146446,5
omegacsd_VIBWIM,0.2575862826282209,0.15309134197856455,0.1359305793514084,0.11958737177067756,5
omegacsd_BUDCUY,0.20796253953239158,0.12603636327046344,0.0859615675926305,0.02912779344351297,5
omegacsd_GASXED,0.3218120805704101,0.0,0.08572306826286129,0.1345419430724677,5
omegacsd_YULZOU,0.4878068964724735,0.5590925721792936,0.6253328835780718,0.30898203228114685,5
omegacsd_SEMXEN,0.619213405799562,0.3737855765643928,0.4554594000344332,0.1846965160545984,5
omegacsd_YUYJEH,0.47265811783560135,0.050472056797789266,0.13419510471033985,9.146701880662469e-06,5
omegacsd_CPYPTZ,0.028351557392448875,0.05507439113046321,0.18327833033895183,0.05414024967923067,5
omegacsd_DECZIU,0.38605033398072197,0.44915459832500254,0.07783686362969912,0.0873876052427194,5
