target,Uniform,EI,LCB
omegacsd_VIBNID,0.1812623168885485,0.10632186529973008,0.0757826250060914
omegacsd_BZAPUC20,0.5121632908171657,0.30167060876704677,0.21743476882237367
omegacsd_AMOCMS10,0.06992994996281877,0.03287692002097055,0.22659522460600903
omegacsd_SORCOR,0.1303529487222549,0.09535503683388977,0.1501272642950037
omegacsd_VUSKID,0.29985256377988606,0.18583307657904774,0.036846073870565585
omegacsd_DIAVER,0.41854371705166066,0.3349646915364057,0.4811813312096979
omegapdb_1m5b,0.3284602113978189,0.493020701940429,0.002546756794343305
omegacsd_GIFZAW,0.09552238165200062,0.1016036174741944,0.26865046966426076
omegapdb_1xn0,0.20662060563767223,0.18094224429496628,0.18434682751667325
omegacsd_DIWWUB,0.09505161291251651,0.10106147859148533,0.07352726884408269
omegacsd_YEYVED,0.16080760660427773,0.14704686336064177,0.0005173100598521725
omegacsd_PIKDIW,0.39285771272760267,0.24387989234668941,0.08939252607493442
omegacsd_HEPGAK,0.10014698103487508,0.12756681197193281,0.08175251621828612
omegacsd_SIHVUA,0.3514829961001741,0.1718230304818736,0.22953352560956783
omegapdb_1hyo,0.6108182682054467,0.6391319400525299,0.48865661226283763
omegacsd_FPAMCA,0.3751514407164776,0.3167641792426646,0.43021437451167954
omegacsd_WIKJOP,0.38294681551001053,0.052701256608288304,0.36092221820516557
omegacsd_NFCSEY,0.3603329048298101,0.15868323593022043,0.06645653553677415
omegapdb_1ofd,0.40325621296607617,0.5553017540885382,0.5754440737712506
omegapdb_1y6q,0.3788286523038629,0.4379621659323115,0.2783134343175638
astex_1n46,0.1349291565067999,0.012989171974355073,0.08208360764175317
omegacsd_HEMXIG,0.2861354290111163,0.06723250288333012,0.09197513993005951
omegacsd_FOJZUZ,0.3380194108880532,0.5227993789838874,0.37333760070668953
omegacsd_VOWXEK,0.1111892481879628,0.330013561223919,0.025964292123385035
omegacsd_KOKBIV,0.08376394124346312,0.07699908747912496,0.020692680776064946
omegacsd_FEMMAL,0.21922604297503898,0.23132028123116977,0.0709640393804029
omegacsd_DABGUI,0.6110557024652641,0.3746096413923265,0.4159714751374154
omegacsd_BAJZOB10,0.30946684466365665,0.13373091031920253,0.3813257472843137
omegapdb_1ik4,0.13015818841014498,0.05216538264621186,0.6663626617361567
omegapdb_1qy5,0.2197504886841321,0.16893337355280383,0.26785704627844337
omegacsd_WASTEP,0.10303751514046976,0.09600861623858456,0.12679800636844007
omegapdb_2hd6,0.144426099827322,0.06599196254586284,0.0845047796170252
omegacsd_CUNTIO,0.3966414152376295,0.023243928192072248,0.3032286011859661
astex_1ig3,0.3818751320123579,0.12197662896230801,0.0857378412428029
omegacsd_FEVZUB,0.5007744405452499,0.3233599593611364,0.27092403647391805
omegacsd_FOBZIF,0.2416139659593911,0.02772363597082479,0.09663384376181659
astex_1tow,0.13578096865262698,0.33103358007378425,0.2951661475401048
omegacsd_LAXWEM,0.46942405688846034,0.3559745035403441,0.17750008291554903
omegacsd_COFHIO10,0.49466618719638733,0.14688542584811207,0.1021821948597531
omegacsd_YAGWOS,0.26298030093943725,0.04856950674234029,0.2552358627145061
omegapdb_1m2x,0.7127427684849726,0.6977564075659296,0.5229906526996464
omegacsd_KEBVES,0.34829370921438,0.01901238812452705,0.056240914498492944
omegacsd_TECSUP,0.5285267618423748,0.21192558255409785,0.07229448569667955
omegacsd_SEFLIY,0.4361762087674818,0.22195389016273046,0.21000762560348515
omegacsd_FAJVAN,0.33044192029155056,0.251928052144693,0.5513316028211749
omegapdb_2g8n,0.19592559344944094,0.08755886866503407,0.08755886866503407
omegapdb_1m5f,0.367550089646884,0.29472257898172827,0.2811467018875406
astex_1ke5,0.06796306680991812,0.02124934330394653,0.07103323286645019
omegapdb_1gz8,0.39949687618796403,0.32204142761505944,0.3275378800319022
omegacsd_DOPXIP,0.07630668396875144,0.01280353492120976,0.02041046683756095
omegacsd_CALLEG,0.19251137490551024,0.19599561942000837,0.19599561942000837
omegacsd_DOHREX,0.005786416350905461,0.035952055082032815,0.005609936305917823
omegacsd_SAVYET,0.27127455996800065,0.03923151962951632,0.04863977267145073
omegacsd_KAVNOK,0.36861711066201064,0.051590825130107765,0.09559983085696724
omegapdb_1h2k,0.40862101593805517,0.10193325270640631,0.8287755633669979
omegacsd_PTHPAL,0.41130240943383417,0.38744000469611856,0.05955458579437173
omegacsd_BEHHOL10,0.265065860872305,0.3072257671070006,0.2740998424485248
omegacsd_FIVPUV,0.10019369923449421,0.21680366902197887,0.3078503855710526
omegacsd_KUHNUW,0.14062577385043987,0.11281678366793266,0.027742887352126686
omegapdb_1o2q,0.1597168120904951,0.044237962128683736,0.03235351020163996
omegacsd_SLFNMF02,0.19334058570657464,0.060845561857499536,0.44855663906899595
omegacsd_DADDUH,0.14191667702093355,0.06824280860128963,0.07956541373496735
omegacsd_VEXROF,0.33217928895857063,0.23494138547887491,0.15540671109140278
omegapdb_1r4p,0.35611296585896035,0.2518530495377584,0.3099860860137019
omegapdb_2hb1,0.4818869473120085,0.047670332470354855,0.23524392618234402
omegacsd_BZAPCX10,0.3043461199501941,0.10422486393535492,0.09303392932924
omegacsd_YAZHUC,0.30110702847763055,0.026977023267949044,0.06914967219838146
omegapdb_1pck,0.6159725225854793,0.6435824700516104,0.6561000123524309
omegacsd_FOLMEY,0.47703013259888544,0.31651464817978714,0.25236757237435775
omegacsd_LABLOP,0.45175380706183293,0.387059648239516,0.11239430462178804
omegapdb_1uf7,0.13721146693481803,0.22205864711421053,0.1503408575489035
astex_1l2s,0.5224270125584854,0.5898440197622006,0.4704811383463831
omegacsd_DENDAC,0.29963140079225575,0.25366216898916055,0.3590583966674929
omegacsd_CODYUP10,0.258664761141208,0.5210679571092296,0.04025147126008643
astex_1tz8,0.3751078814815203,0.3417329656356124,0.21373625418038178
omegacsd_FAVYEG,0.24128456180748045,0.14257939818192436,0.27743526955398884
omegacsd_SADXIE,0.1826031893104724,0.024785476656424582,0.03365877373720934
astex_1opk,0.08402552348441965,0.0191110071722102,0.07546026906868104
omegapdb_1g6c,0.563530265206418,0.4331224268236688,0.5317379812950442
omegacsd_LADTOZ,0.27584672394284,0.03792076619119795,0.0961705967865499
omegacsd_ANTZOA,0.16813847467966528,0.10936051010106829,0.13576519560048764
omegacsd_WESFOP,0.4965246667560335,0.24290757436789764,0.13588094541136272
omegacsd_DIGSIV,0.5269658533692497,0.24131263750822032,0.41830360942377676
omegacsd_SOWCOW,0.2629214538701412,0.10954383080166705,0.1317800930397176
omegacsd_DAWRAU,0.30479318050542364,0.3792434539898512,0.31468692252309793
omegacsd_JUBJOF,0.4024753953345661,0.03365597324041592,0.05211167624227139
omegapdb_1gja,0.17060600714641022,0.050886127345840124,0.03159571689445584
omegacsd_CMPEPI,0.28357928275490885,0.20102684274969784,0.24910884333731037
omegacsd_VOPDIN,0.08336776234168572,0.19976526237480932,0.19154768098694872
omegacsd_BIBHID,0.11849549161145181,0.2645234915880519,0.2972017077709172
omegacsd_GEJJUA,0.36988974916247375,0.24413613369142073,0.26264701857392325
omegapdb_1sa4,0.28769835917277947,0.2168420019510324,0.1887571370836692
omegapdb_1oks,0.2744504977541531,0.1840426949294801,0.3785975152077192
omegacsd_PMPAIN,0.29736670802458776,0.215220105074015,0.27306035299026776
omegapdb_1rf6,0.5863233816212785,0.8088616346666982,0.5082848414427475
omegacsd_KACKII,0.500893911079429,0.07581518814605404,0.1527517238898984
