Target,Uniform,EI,LCB,Confab,N_rot
omegacsd_HEKROE,0.41086790476904533,0.0,0.09555511996906983,0.08448099434066579,3
omegapdb_1pa9,0.5210016197184892,0.6338541265697658,0.17213764739094842,0.4881022602468931,3
omegacsd_CLPTBU,0.23382275674394848,0.054564679580618676,0.05412529091547463,0.0267399701541208,3
omegacsd_BEWLIY10,0.10703990111616307,0.1383312220098398,0.09684764475166,0.006135229548033408,3
omegacsd_YITLES,0.20921640474794945,0.11083242740697942,0.0,0.011469014969883236,3
omegacsd_YESPIV,0.25089840407752656,0.19129075232901824,0.16603215417373474,0.042679812080674645,3
astex_1jd0,0.1855496281573199,0.014046382247219432,0.0,0.06636134491220597,3
omegacsd_BAXOZO,0.3255073368788137,0.0,0.29042607462654213,0.018216133555842857,3
omegacsd_KIHWAZ,0.3747996948069657,0.3877340494922602,0.32949794346211375,0.33973686712220413,3
omegacsd_DAKGEB,0.12166041200051965,0.004365433089358964,0.020206497048690257,0.1061970493777636,3
omegacsd_PAPPHI,0.15457969146511444,0.011118538208281667,0.09198131390394887,0.06943305111405919,3
omegapdb_1uwc,0.13742128121498928,0.17555646941936,0.0025426018222131875,0.008626787333132963,3
omegacsd_BAFREF,0.18918310232966967,0.06728036492284133,0.38819277169008354,0.10519974756055447,3
omegapdb_2brc,0.193225924949796,0.0,0.25828487795489663,0.04266842597817023,3
omegapdb_1k2t,0.23820367401597597,0.02383512988217477,0.014584468091947396,0.2781380202603633,3
omegapdb_1utt,0.12754515220095286,0.23482849658832275,0.0,0.20918856427513294,3
omegacsd_FUHHAR,0.13869466247620307,0.053966518366128764,0.2679510291518272,0.00562682419667183,3
omegacsd_FOWPOW,0.012438953050509504,0.061376924747131655,0.09311078434330662,0.08596143811745505,3
omegapdb_2ggd,0.38126108510450885,0.12165315029903202,0.0686884314976769,0.29806976944321706,3
omegacsd_BETFAH,0.1735039873985607,0.06177061677620693,0.03081412785831389,0.028049451373124833,3
omegacsd_HAVRUR,0.32692045601836184,0.10997300800288691,0.31819842207252425,0.30914955660285365,3
omegapdb_1d3g,0.03996116363909573,0.03515013255285154,0.030929388777609854,0.03840153527150276,3
omegacsd_HADLAZ,0.07149170887626767,0.04018705293841539,0.04855825477869258,0.04574219151471721,3
omegacsd_HALJOT,0.033756670945758495,0.0800065906338233,0.1419843698473878,0.041243812876439814,3
omegacsd_SAVXOC,0.45519511399408147,0.0,0.20872112372769114,0.36492175009114003,3
omegacsd_PNBPIP,0.046956252437317325,0.036946655141896725,0.024254148128870365,0.1563922282193357,3
omegacsd_CIBPOS,0.24484029360428283,0.030824571721536978,0.028605710413157345,0.08277034329460387,3
omegacsd_DUDPAT,0.08899253879153554,0.0,0.03514412481063146,0.09949501393802307,3
omegapdb_2bgd,0.263230437734107,0.0730276126089389,0.07794405726353706,0.07186261551455318,3
omegacsd_KAVLIC,0.15378114313977143,0.0,0.08389345689864239,0.23615409563211798,3
astex_1n2j,0.4338361335281698,0.0,0.09734721261510046,0.09901340445174048,3
omegacsd_LEKMET,0.0311188509637245,0.020643981470790173,0.0,0.001376695165904384,3
omegacsd_JOXFIL,0.14142453541053093,0.10301569141630726,0.08806383516769521,0.09367164135150881,3
omegapdb_1n2b,0.9123436934733716,0.15048643832031147,0.1319908599951076,0.05052460299294907,3
omegacsd_COYVIV,0.5058162652122234,0.6580849225612977,0.2715764211095862,0.09847423203094291,3
omegacsd_CYCLIZ10,0.19474332575196657,0.06906151386749317,0.057355785950777186,0.008674100077932618,3
omegacsd_FIJJUD,0.14685352559568912,0.017791113879266022,0.03722052566902709,0.030252455646095883,3
omegacsd_DEBFAR,0.15038492392415126,0.0,0.11335808631422367,0.018411704456075643,3
omegacsd_FEYKUP,0.2078357771407448,0.0,0.21038168417622302,0.03481915956507239,3
omegacsd_YAHBOY,0.5034411351066493,0.16546704072390367,0.16546704072390367,0.38370724493554303,3
omegacsd_VADTAV,0.05270173586179076,0.011600025654996906,0.04061894103499036,0.011280579561476841,3
omegacsd_EMZPPO,0.2181373581323209,0.0,0.0037263840261770086,0.01227588744406356,3
omegacsd_FACCER10,0.27889783641005383,0.004349516638031002,0.37998347332669447,0.3916516666933795,3
omegapdb_1gj6,0.05642274151994668,0.0014512851554150732,0.032361680645113515,0.008357420851976112,3
omegapdb_2aw1,0.1326293531496888,0.12961045575763638,0.11076929327478822,0.14059516772512023,3
omegacsd_ANOPPS,0.1274293912659028,0.026417286302263462,0.02013476321897991,0.029927416163128776,3
omegacsd_MINTSA,0.3982880618722617,0.17520652816742685,0.42053638188631276,0.28151416271377017,3
omegacsd_CPIPLA,0.10927921853064744,0.09795223205988479,0.09795223205988479,0.056927176410163274,3
omegacsd_SLFNMB04,0.2846341733644679,0.0,0.36099618224474095,0.13692629345305118,3
omegacsd_FUDVUV,0.09138612361574819,0.018916419266762685,0.02490947862131853,0.013177633497207193,3
omegacsd_TAJSEC,0.2634738138346047,0.06764332267032587,0.3089509828609997,0.08935025043780702,3
omegacsd_FAHTUD,0.2713837245141136,0.05738122838149126,0.05736169412574102,0.13365503359356082,3
omegacsd_TAPZEP,0.14617384206331385,0.38541311278325097,0.35260625262635004,0.3468920487012296,3
omegapdb_1xap,0.17621335365919316,0.02239442810744587,0.07588950561757604,0.1960553715941058,3
omegapdb_1xqc,0.061466155850896764,0.05945807978020007,0.08316448150344766,0.040413909055713224,3
omegacsd_FUCFIS,0.13242214760221116,0.0,0.027795383703735153,0.012946350712776916,3
omegacsd_COVXIU,0.2619980629832501,0.06794917147007462,0.08931349211242534,0.06291975945432268,3
omegacsd_DUDNUL,0.07070119718706185,0.0,0.02249459422564932,0.03570617590246525,3
omegacsd_FABWUA10,0.27130252446185704,0.05053697965872944,0.0,0.08004583560728,3
omegacsd_ABIMAZ,0.3217735207352103,0.05771554907632538,0.06642879337916978,0.006435776861490283,3
astex_1r9o,0.21026027631750377,0.07400692214721705,0.0,0.013587375531696191,3
omegacsd_VOXMOK,0.34420213858211857,0.34804257276577716,0.2803282271118689,0.25982047277310333,3
omegapdb_1syh,0.21305877513684046,0.7978053790292444,0.0921555536816621,0.08125620176738582,3
omegacsd_CEVTUS,0.5612741834153671,0.03358273572660407,0.0004114351513371724,0.0027138123864587065,3
omegacsd_KIHWED,0.20871914641621778,0.0,0.03242970686784348,0.020864071739801794,3
omegacsd_WEVTIA,0.10223976551420663,0.016890869289315335,0.0028206839958856496,0.003445507360053828,3
omegacsd_JUDLUP,0.0931557412444086,0.01596919396513239,0.020803668470574823,0.024061722433688527,3
omegacsd_FUNXUH,0.18262072925188252,0.022109625051142872,0.0,0.03467226608490121,3
omegacsd_BUNFUL,0.4722351584374318,0.3593271490956277,0.38799350934824217,0.3029862031500412,3
