angle1,angle2,mmfff
0,0,6858.793560655149
0,5,5201.119545624453
0,10,2671.6223980476657
0,15,1217.2973398563347
0,20,599.6297623821267
0,25,348.6012498867221
0,30,239.67915473695805
0,35,187.50075691948462
0,40,160.08916925130058
0,45,144.68367203263458
0,50,135.68700216339104
0,55,130.3694478365429
0,60,127.25021437404672
0,65,125.45128010391694
0,70,124.42576054959753
0,75,123.83067444972679
0,80,123.45555368236735
0,85,123.17767870233172
0,90,122.93441317822615
0,95,122.70740591031998
0,100,122.51478723659758
0,105,122.40902840176341
0,110,122.4798701581073
0,115,122.86355614618488
0,120,123.76155242383052
0,125,125.47385769861535
0,130,128.45580784395824
0,135,133.42686919152183
0,140,141.63294105381362
0,145,155.56236299479613
0,150,180.97877397865753
0,155,232.93949993937576
0,160,353.9752220682551
0,165,664.2600099043666
0,170,1441.0943661932874
0,175,2875.4029997203065
0,180,3809.6429066000073
0,185,2823.5587657540723
0,190,1404.0639681332254
0,195,648.6968792100636
0,200,348.1816690900931
0,205,230.69399063598456
0,210,180.00914457127485
0,215,155.0853153325848
0,220,141.36805031022953
0,225,133.26558033209264
0,230,128.3512212226502
0,235,125.402816058843
0,240,123.71130207233963
0,245,122.82675950151116
0,250,122.45228687058095
0,255,122.38819382611585
0,260,122.49925588319411
0,265,122.69635353798989
0,270,122.92745100536011
0,275,123.17479712370704
0,280,123.45717167684032
0,285,123.83782269015585
0,290,124.44047948313542
0,295,125.47737147292557
0,300,127.29456906794742
0,305,130.44447068175145
0,310,135.8157175001483
0,315,144.91190283249867
0,320,160.51611046122446
0,325,188.3589057546084
0,330,241.55417068010212
0,335,353.0577866327297
0,340,610.9409867017283
0,345,1246.206499605596
0,350,2735.496774249982
0,355,5283.805627689432
5,0,5251.339432103342
5,5,2813.098109528619
5,10,1302.6377302683704
5,15,641.7409371600336
5,20,370.29227967818
5,25,251.87372871268758
5,30,194.77211752099146
5,35,164.50873293500266
5,40,147.3288875617273
5,45,137.19221208516376
5,50,131.14408136233962
5,55,127.57586787585231
5,60,125.52805577306921
5,65,124.39604227118325
5,70,123.79356546184879
5,75,123.47715059401133
5,80,123.29850924684494
5,85,123.17443905808398
5,90,123.06905287980828
5,95,122.98448729968895
5,100,122.95758856601073
5,105,123.06172158399636
5,110,123.4146703570986
5,115,124.19556804763948
5,120,125.67565937435795
5,125,128.27065633172228
5,130,132.6382134866547
5,135,139.90723206620532
5,140,152.3002509437396
5,145,174.8881283135977
5,150,220.71407483452074
5,155,326.0676818786763
5,160,592.5904025958478
5,165,1259.1602012983822
5,170,2538.680065703954
5,175,3544.1429401212836
5,180,2813.955362715341
5,185,1463.8604869359908
5,190,685.0266410952117
5,195,365.1076432683435
5,200,238.85229451091945
5,205,184.29906549956343
5,210,157.4320201894525
5,215,142.58181671809575
5,220,133.74634558330462
5,225,128.33533052092722
5,230,125.05285776243068
5,235,123.15026852137257
5,240,122.15154997204559
5,245,121.73985071236808
5,250,121.69886979743917
5,255,121.87863388764713
5,260,122.1760902868789
5,265,122.52519757266694
5,270,122.8932359917882
5,275,123.28197801882885
5,280,123.73411950663898
5,285,124.34709959728633
5,290,125.2980990864802
5,295,126.88546918008333
5,300,129.595404149923
5,305,134.2194005864739
5,310,142.10175925985527
5,315,155.72787441864585
5,320,180.1988988617533
5,325,227.12178109995506
5,330,325.4043816252793
5,335,551.5540791263513
5,340,1105.8160584757659
5,345,2414.206512353224
5,350,4756.467225744319
5,355,6504.451038797483
10,0,2756.9334252611015
10,5,1326.718164181812
10,10,664.9021263575712
10,15,385.46509849789015
10,20,261.60908264264947
10,25,201.07898090571385
10,30,168.55598077693932
10,35,149.84004646960378
10,40,138.6524197916226
10,45,131.89595668235847
10,50,127.86996190920516
10,55,125.55100023699049
10,60,124.28643045693016
10,65,123.65208159050158
10,70,123.37421400687191
10,75,123.28019900168081
10,80,123.26666416092962
10,85,123.28005323721352
10,90,123.3059203809749
10,95,123.36439788078354
10,100,123.51073786789756
10,105,123.8415559878611
10,110,124.50936046764546
10,115,125.74982053879732
10,120,127.92842776514209
10,125,131.6244602066894
10,130,137.8203879052841
10,135,148.40824596630813
10,140,167.59791162225125
10,145,205.92214118670685
10,150,291.7634291372106
10,155,501.93039253031844
10,160,1012.6221453747725
10,165,1996.1551122834817
10,170,2880.212138505806
10,175,2477.3059275182322
10,180,1392.7392466249376
10,185,682.4175663912644
10,190,370.1642348473886
10,195,242.72247920581592
10,200,186.7299275837139
10,205,158.8586400258952
10,210,143.30291026013563
10,215,133.95097471768227
10,220,128.15729074421438
10,225,124.59781021358526
10,230,122.5071993304002
10,235,121.39704138993866
10,240,120.93953159853392
10,245,120.90779789543696
10,250,121.14118318466817
10,255,121.52548453946132
10,260,121.98260870543001
10,265,122.46625097168663
10,270,122.96212633711669
10,275,123.49294370907866
10,280,124.12994339640271
10,285,125.0144998977911
10,290,126.39482488072633
10,295,128.68556305459674
10,300,132.57083824845506
10,305,139.21560409717344
10,310,150.76216112841678
10,315,171.5658389732281
10,320,211.40765427942847
10,325,294.2168581927441
10,330,481.94526775149416
10,335,933.341331058715
10,340,1985.2744674939047
10,345,3906.1565196313504
10,350,5562.526363947597
10,355,4824.477014015504
15,0,1284.2802485292184
15,5,666.4306545340628
15,10,392.9549034580077
15,15,268.35129824042286
15,20,206.1862983573064
15,25,172.14844136215606
15,30,152.21113459951147
15,35,140.09804528827638
15,40,132.67167347231242
15,45,128.18487707275224
15,50,125.57240128881207
15,55,124.14552805362946
15,60,123.44900203641235
15,65,123.1825846704596
15,70,123.15125560182216
15,75,123.23240871235127
15,80,123.35516201812864
15,85,123.48839343610274
15,90,123.63501459487242
15,95,123.8311923587953
15,100,124.15076242633674
15,105,124.71694332495157
15,110,125.72535937985907
15,115,127.48408250511753
15,120,130.48329899947402
15,125,135.54293462336548
15,130,144.19563108871276
15,135,159.731061585501
15,140,190.0578017163984
15,145,255.50683949157633
15,150,408.14301987138987
15,155,760.9323467450382
15,160,1424.954773124643
15,165,2082.4360903257075
15,170,1945.7735582053278
15,175,1212.6487273946912
15,180,641.5416752697597
15,185,362.79156453740825
15,190,242.0457720018028
15,195,187.21039824090735
15,200,159.34678545902557
15,205,143.54653634452913
15,210,133.91079372057436
15,215,127.85657228864007
15,220,124.08155211460267
15,225,121.82817223890157
15,230,120.60966172820359
15,235,120.09638576428806
15,240,120.05715791489361
15,245,120.3250023658589
15,250,120.77767294004543
15,255,121.32731387141271
15,260,121.91578510651985
15,265,122.51412158064855
15,270,123.1261530469725
15,275,123.79777820075932
15,280,124.63498994379515
15,285,125.83530877008008
15,290,127.73939836285592
15,295,130.91858321569134
15,300,136.34788563309704
15,305,145.80372638896063
15,310,162.83983553647877
15,315,195.2700287527312
15,320,261.697704211131
15,325,408.6833178755953
15,330,751.1170281392353
15,335,1525.9930828647828
15,340,2940.198225631948
15,345,4305.830650128621
15,350,4032.754658705894
15,355,2509.8924643861437
20,0,644.928830663936
20,5,391.73050004897146
20,10,271.5125945264643
20,15,209.78926924254472
20,20,175.15420435694796
20,25,154.40890574483745
20,30,141.54790275266748
20,35,133.5156123411403
20,40,128.57629345502122
20,45,125.65131707797667
20,50,124.0310223723665
20,55,123.23772938519382
20,60,122.94971204764036
20,65,122.9523942905142
20,70,123.1055389779722
20,75,123.3218546811818
20,80,123.55402727698959
20,85,123.78790420389802
20,90,124.04044703566548
20,95,124.3623188178319
20,100,124.84664304242239
20,105,125.64735685046054
20,110,127.01209332475156
20,115,129.33801940882807
20,120,133.28082350504295
20,125,140.02244396451042
20,130,151.98206428130737
20,135,174.68044839794703
20,140,221.48233434195535
20,145,324.2686267836713
20,150,547.0920814040043
20,155,950.2460849935158
20,160,1378.2740574365557
20,165,1389.9977761321977
20,170,974.2566536092122
20,175,570.5923649648182
20,180,343.94111984579393
20,185,236.89744384420314
20,190,185.74350081738046
20,195,158.91359567163767
20,200,143.34638665207873
20,205,133.66964482464647
20,210,127.48230911150644
20,215,123.55595671722278
20,220,121.16643591836541
20,225,119.8429029006226
20,230,119.26292759034408
20,235,119.1972597861574
20,240,119.47711962341782
20,245,119.9755721800857
20,250,120.59759380068479
20,255,121.27532324115646
20,260,121.96694197926959
20,265,122.65909324476476
20,270,123.37401837498976
20,275,124.18402625362874
20,280,125.23743530744908
20,285,126.80178550972063
20,290,129.33573929873677
20,295,133.6246638549256
20,300,141.08150714287717
20,305,154.46928715043552
20,310,179.68675101852554
20,315,230.27235961497786
20,320,338.62233964079593
20,325,580.6487046435643
20,330,1105.6347525664767
20,335,2048.5733480925496
20,340,3043.443319015386
20,345,3076.476718472162
20,350,2118.8565379421716
20,355,1178.4527562883982
25,0,381.0829034910138
25,5,270.49003695458316
25,10,211.50048337127623
25,15,177.3625689947921
25,20,156.3431198278755
25,25,142.98466150000135
25,30,134.45107182281484
25,35,129.08875012714276
25,40,125.84227649188855
25,45,124.00064199300186
25,50,123.07490948767366
25,55,122.72848673581827
25,60,122.73120719643666
25,65,122.92764361992863
25,70,123.21570512928459
25,75,123.53303251246842
25,80,123.84928124806888
25,85,124.16295053484221
25,90,124.5023142160319
25,95,124.9313815559226
25,100,125.56357726909538
25,105,126.58736209286361
25,110,128.3095269129127
25,115,131.23238923373762
25,120,136.2267263900542
25,125,144.97350556817986
25,130,161.0701130817068
25,135,192.62933893171936
25,140,257.4888944506129
25,145,388.4451070421213
25,150,614.3416299192093
25,155,866.5429056530616
25,160,929.0479201265053
25,165,733.2573251603213
25,170,482.9704248187842
25,175,315.9901908897954
25,180,227.6730961194077
25,185,182.3993863317924
25,190,157.58231331221717
25,195,142.72853352357134
25,200,133.26280964899803
25,205,127.07694053180299
25,210,123.06815573935611
25,215,120.57217598377578
25,220,119.14876152306877
25,225,118.4917195369315
25,230,118.37994494608549
25,235,118.64745621679981
25,240,119.16619163667939
25,245,119.83684029610565
25,250,120.58429026108105
25,255,121.35614339964081
25,260,122.12413323954407
25,265,122.88934633985298
25,270,123.69335328328603
25,275,124.63876824063664
25,280,125.92413767751998
25,285,127.90116843717392
25,290,131.1766654737582
25,295,136.82695523987826
25,300,146.89705009057045
